Year,CPI,InflationIncrease
2005,117.48166666666667,0.0
2006,128.75666666666666,9.59724212288442
2007,140.03083333333333,8.756180909726364
2008,154.65583333333333,10.444128376488514
2009,164.32333333333335,6.25097663090628
2010,178.4,8.566444205529745
2011,189.94583333333333,6.471879671150971
2012,206.835,8.891569965121636
2013,222.33333333333334,7.4930903054770015
2014,242.01999999999998,8.854572713643162
2015,260.585,7.670853648458809
2016,280.84583333333336,7.775134153283347
2017,312.14416666666665,11.144311084076364
2018,363.125,16.33246389889287
2019,418.23583333333335,15.176821572002307
2020,469.59083333333336,12.2789574462574
2021,561.6141666666666,19.596492691332323
2022,967.7108333333334,72.30883598912068
2023,1488.9141666666667,53.85940875933151
2024,2360.025,58.506450730034246
2025,3153.170909090909,33.60752149197186
